country,i1990,i1995,i2000,i2005,i2010,i2015,i2020,e1990,e1995,e2000,e2005,e2010,e2015,e2020,g1990,g1995,g2000,g2005,g2010,g2015,g2020
Panama,134392,132978,136929,131417,139844,150210,139520,62744,70848,83410,109461,157788,184710,313165,8.098993006,1.751678757,2.715374155,7.191279402,5.827993494,5.733054296,-17.9448936
Papua New Guinea,3107,4059,4552,4493,4231,4980,4810,33710,33526,26304,29971,30425,30940,31068,-3.012169222,-3.312448778,-2.494841993,6.344795923,10.12845407,6.578356323,-3.167381176
Paraguay,297742,335845,374675,545698,765811,845591,896484,195884,186570,176608,168243,160299,156462,169567,4.123282879,6.822810304,-2.314140568,2.133490665,11.09523127,2.957151735,-0.819785391
Peru,313209,505474,694144,969002,1299095,1410199,1519635,56688,56732,66300,77877,104706,154774,1224519,-4.982563536,7.411395047,2.694371398,6.285060325,8.332459107,3.252244772,-10.95269893
Philippines,2012499,2481963,3062665,3684528,4692695,5498232,6094307,154071,207345,318095,257468,208599,211862,225525,3.082672529,4.625225117,4.382504833,4.942505119,7.33449996,6.348309717,-9.518294741
Poland,1673426,1775774,2047626,2884657,3716338,4077038,4825096,1127771,964725,825251,722509,642417,611855,817254,0,7.102865534,4.56098541,3.506834614,2.934638181,4.383298635,-2.020070734
Portugal,1871869,1920865,1993793,1743009,1927397,1971655,2081419,435782,532822,651472,771184,762825,864814,1001963,3.950522763,4.28278046,3.816178063,0.781848216,1.737625476,1.792046046,-8.300516042
Puerto Rico,1871869,1920865,1993793,1743009,1927397,1971655,2081419,435782,532822,651472,771184,762825,864814,1001963,-2.840540726,4.548988106,3.271964529,-1.986938733,-0.413254118,-1.049443651,-4.353426337
Qatar,12175,13302,14680,17131,20674,23574,25705,309753,361673,359697,646026,1456413,1687640,2226192,0,0,0,7.492758483,19.59233153,4.753345724,-3.640449798
"Korea, Rep.",4053,4246,3991,4021,3565,4127,5103,2162,2223,2283,2487,2868,2919,3126,9.877552502,9.614565393,9.060833325,4.308542714,6.804824918,2.809103268,-0.709415359
Moldova,7713,12138,16914,18346,19404,20633,24945,3685,3342,3116,2905,2806,2756,2832,0,0,2.107716048,7.500000139,7.100000084,-0.338235559,-7.380182154
Romania,811853,976732,1138825,2105906,3363361,3420714,3987093,135825,135037,134254,145162,177211,281048,705310,0,6.233511484,2.461263459,4.668148051,-3.90123628,3.16050387,-3.677510791
