country,i1990,i1995,i2000,i2005,i2010,i2015,i2020,e1990,e1995,e2000,e2005,e2010,e2015,e2020,g1990,g1995,g2000,g2005,g2010,g2015,g2020
China,493026,499207,511997,541745,571842,618015,643800,107501,142417,177332,276360,375388,639724,1645015,3.920251368,10.95395434,8.490093406,11.39459181,10.63587106,7.041328879,2.239701857
Colombia,1009148,1215967,1433940,1883904,2554020,2698688,3024273,104277,106943,109609,106523,130309,159407,1905393,4.281998331,5.202437593,2.924861483,4.828761108,4.494658971,2.955901375,-7.048151208
Comoros,40079,51290,70502,96143,109125,121749,150823,14079,13939,13799,13209,12618,12555,12496,5.091236413,3.610206432,10.84787862,2.83754787,3.77776675,1.147350761,-0.195556827
"Congo, Rep.",96370,115677,135235,172610,178111,204829,223767,129391,191635,305880,318724,425173,390142,387606,1.000003566,3.985324378,7.575980395,7.755758978,9.931265431,-3.550581765,-6.239319632
Costa Rica,69283,84980,105227,117618,132317,138237,150241,417628,364287,310946,358398,405779,411697,520729,3.553063366,4.153953043,3.868718088,3.976666368,5.36034348,3.652080968,-4.050908171
Croatia,425544,735213,907031,839084,820407,806242,1039526,475438,674085,585298,579273,573248,561093,528056,0,0,2.864066947,4.262862934,-1.223779482,2.522292277,-8.580343021
Cuba,835175,934168,1047789,1160309,1314739,1505827,1757300,34555,26187,18545,11693,7373,4649,3024,-2.948564945,2.457201172,5.914760174,11.20165642,2.390352297,4.438141959,-10.94834097
Curacao,2104,2849,3779,4618,45248,6239,7611,0,0,0,0,34630,37611,57210,0,0,0,0.676425345,0.082306609,0.290948721,-18.43847185
Cyprus,2104,2849,3779,4618,45248,6239,7611,0,0,0,0,34630,37611,57210,7.403999507,8.362469305,5.965310315,4.853003838,2.283544997,3.418923188,-4.372474186
Czechia,564746,620286,723333,752058,779438,819776,1026108,110394,165592,220789,322540,398493,416454,540921,0,6.500813529,4.001028635,6.60161753,2.434902159,5.388380838,-5.502967961
"Korea, Rep.",4053,4246,3991,4021,3565,4127,5103,2162,2223,2283,2487,2868,2919,3126,9.877552502,9.614565393,9.060833325,4.308542714,6.804824918,2.809103268,-0.709415359
"Congo, Rep.",96370,115677,135235,172610,178111,204829,223767,129391,191635,305880,318724,425173,390142,387606,1.000003566,3.985324378,7.575980395,7.755758978,9.931265431,-3.550581765,-6.239319632
Denmark,436513,559824,862039,1130872,1298544,1572222,1832069,754194,1816963,744387,623009,589882,810018,952871,1.475244277,3.027587267,3.746862595,2.336641308,1.870991147,2.342591108,-1.994607569
Djibouti,5308,6964,9055,11987,13797,16969,18365,122221,99774,100507,92110,102307,112351,119738,0,0,0,0,0,7.526108919,1.202022033
Dominica,40563,44210,48275,64037,73583,72585,78191,2519,3121,3723,4744,8110,8093,8284,5.417983566,3.030862602,2.340219321,0.655862269,0.6726344,-2.731503063,-16.60491154
Dominican Republic,458021,667015,889451,1014070,1184417,1454602,1608567,291151,323381,355611,375417,395479,549289,603794,-5.454312395,5.685430737,4.66176228,9.428236947,8.33965106,6.927018772,-6.720239373
Ecuador,214008,326230,446380,986599,1152897,1130774,1127891,78663,115093,151523,189893,375253,387513,784787,3.679914053,2.252548774,1.091801564,5.291308267,3.525298669,0.098872608,-7.787607091
"Egypt, Arab Rep.",1321915,1492004,1708296,1807941,2586643,3151069,3610461,173833,166955,184774,285006,310017,353641,543937,5.667029157,4.64245877,6.370003834,4.471744469,5.147234859,4.372019079,3.569669475
El Salvador,1241849,933103,949042,1118793,1337085,1512895,1599058,47360,39537,31713,36029,40342,42059,42767,4.832900578,4.734081402,1.127906977,2.705463473,2.107887579,2.4,-8.177217438
Equatorial Guinea,36175,46412,59930,71789,84390,116947,128774,2740,3629,4517,6588,8658,209611,230618,-1.758564085,17.48626373,18.21377996,16.74870061,-8.924175889,-9.110041149,-4.241481321
Eritrea,170603,375257,511506,299311,328366,624757,802822,11848,12400,12952,15905,15813,15941,13934,0,2.858379059,-3.141985903,2.574449551,2.194190349,0,0
Estonia,113860,129586,141821,150101,153633,189109,206631,381997,315755,249512,233701,217890,194664,199277,0,0,10.08763444,9.526426972,2.444265118,1.853020046,-0.551001258
Eswatini,35179,30340,34116,44861,69030,46236,50039,74991,35157,34084,33392,32637,32352,32858,21.01800054,4.82565155,1.76017376,5.99877655,3.793754968,2.227480675,-1.55964259
Ethiopia,1689941,816420,445886,524038,680290,842496,946129,1155390,806904,611384,514451,568748,1161642,1085517,2.726451783,6.127511414,6.07321748,11.81876595,12.55053835,10.39246302,6.059530886
Fiji,90161,106488,131908,157045,183607,208568,233856,13283,13001,12719,12434,13357,13751,14087,5.80000272,2.499998538,-1.699998416,0.700000402,2.954672422,4.501199392,-17.00023502
Finland,90161,106488,131908,157045,183607,208568,233856,13283,13001,12719,12434,13357,13751,14087,0.670275844,4.21686747,5.773362458,2.779850556,3.185958654,0.543659212,-2.205139373
France,250610,288655,315861,300562,291883,282223,311889,63255,99729,136203,192169,228481,314856,386052,2.923935081,2.106695253,3.923669227,1.66321998,1.949437623,1.112912341,-7.784586492
French Polynesia,2840,3221,3640,3800,3940,4517,4595,63612,70131,76649,86468,96288,106108,119249,0.129883207,-0.388969413,3.245411024,0.309973481,-4.718832487,3.446946725,-10
Gabon,15347,16610,18041,41357,36933,43075,48392,128188,171427,214431,233824,270829,378686,416651,5.192237277,4.973847763,-1.882966398,2.676203333,7.089887315,3.878899395,-1.837761064
"Gambia, The",36280,38384,45427,61209,77440,96963,139210,118123,150890,182514,181839,185837,192540,215659,3.558879368,0.881848241,5.500000216,-2.351729362,5.90833581,4.058073804,0.591487288
Georgia,36280,38384,45427,61209,77440,96963,139210,118123,150890,182514,181839,185837,192540,215659,-14.7882259,2.599996724,1.838341066,9.589574062,6.249487768,3.02220738,-6.760439817
Germany,2929448,3045354,3235247,3442933,3696638,3630278,3855268,5936181,7464406,8992631,9402447,9812263,10220418,15762457,5.255006083,1.544146496,2.912502964,0.731707164,4.179882499,1.491931528,-3.696788705
Ghana,371157,428051,495887,665731,762002,892253,1004324,164851,252879,191601,309932,337766,414744,476412,3.328817883,4.112418972,3.700000082,5.900003819,7.899711941,2.120759338,0.513941648
Greece,1022125,1004201,982685,867619,789457,820119,1088507,618139,857850,1111665,1190707,1321149,1242924,1340456,0,2.099719737,3.919770717,0.599142189,-5.478217742,-0.19608763,-9.004043642
Greenland,1022125,1004201,982685,867619,789457,820119,1088507,618139,857850,1111665,1190707,1321149,1242924,1340456,-11.71953298,3.728677489,7.101596882,4.987491771,1.735825059,-2.529318024,0.35653166
Grenada,43237,54075,63791,64646,63930,69055,62204,4263,5544,6825,6902,6980,7057,7213,4.012611898,2.12947515,4.887952137,13.27618833,-0.511262754,6.444767824,-13.75592945
Guam,5765,6748,7750,8911,10779,11993,12542,65944,74566,83188,89065,94942,90956,90206,0,0,0,3.642316349,2.263251936,0.825688073,-11.39218114
Guatemala,348189,461891,582796,736715,924898,1118115,1368431,264257,156188,48119,57214,66386,74852,84311,3.102563176,4.948547502,3.608868717,3.276026926,2.884175428,4.092170816,-1.764082926
Guinea,352763,365862,377019,404677,455866,493411,550790,403621,774505,560075,233419,178762,126657,121437,4.324062755,4.607673202,2.503060562,2.997272562,4.81336017,3.825910569,4.920266372
Guinea-Bissau,55406,67149,77664,82846,91546,98151,111790,15368,27961,20450,20902,21391,22333,17945,6.099999986,4.400000008,5.426987367,4.266098931,4.6109709,6.134082941,-2.399999999
Guyana,233318,295292,362157,392555,439233,481258,438413,4095,6352,8610,10868,8182,8661,31169,-3.067484664,5.031446558,-1.363803903,-1.950957595,4.138441601,0.68752121,43.47955594
Haiti,524711,661354,802218,967894,1123190,1467042,1769671,19084,18129,17222,16360,17182,18047,18884,1.038122802,9.897707488,0.870059259,3.072173377,-5.651511534,2.562508835,-3.343372612
Honduras,156379,246575,342103,448882,587503,729855,985077,270423,149442,28461,27934,27288,38330,39195,2.79174895,6.189304558,7.291288159,6.050599222,3.731140344,3.840079971,-8.964760184
Hungary,391583,404141,420959,466530,511199,600887,714420,347510,322234,296957,366787,436616,475508,584567,0,1.489525476,4.479194732,4.29427761,1.076254043,3.707315979,-4.547263823
Iceland,17597,21433,26173,28669,32454,37006,43251,9584,12738,15892,25492,35091,39072,65424,0,0,4.98504277,6.124438965,-2.832774915,4.436663719,-6.842296026
India,6619431,7153439,7928051,9588533,13221963,15885657,17869492,7594801,6952238,6411331,5936740,5574018,5210847,4878704,5.533454561,7.57449184,3.840991157,7.923430621,8.497584702,7.996253786,-6.596080522
Indonesia,1622259,1937233,2415077,2781287,3415963,4065095,4601369,465612,378960,292307,289310,307487,338124,355505,7.224334601,8.220007399,4.920067747,5.692571304,6.223854181,4.8763223,-2.065004941
"Iran, Islamic Rep.",631196,746739,831205,889502,985691,1155617,1325113,4291601,2937668,2476469,2552206,2722397,2729939,2797235,13.59492644,2.401044552,5.845527476,3.189804087,5.797938302,-1.424884939,3.330288459
Iraq,642933,752604,828414,1340599,2554929,1675613,2077976,83638,199460,210525,134863,120466,359352,365766,57.81782834,2.120021498,16.92166569,1.671889623,6.402564845,4.722864019,-11.32419926
Ireland,917101,863541,820657,769942,729466,736639,734317,227961,226892,350552,589046,730542,759256,871256,8.466527516,9.634422073,9.403524642,5.739782169,1.682971538,24.37044535,6.184538039
Isle of Man,917101,863541,820657,769942,729466,736639,734317,227961,226892,350552,589046,730542,759256,871256,4.186976822,4.299998206,5.300001526,5.899999336,3.399998424,-0.385798408,0
Israel,279625,290365,303860,317009,333968,331326,358691,1632704,1792185,1851309,1889503,1956190,2011727,1953575,0,0,8.671655277,4.134076619,5.668515118,2.485826289,-1.857289278
Italy,3350982,3207728,3067498,2698486,2559233,2662661,3258831,1428219,1774954,2121688,3954790,5787893,5805328,6386998,1.985774943,2.886836759,3.786955143,0.817848974,1.713295839,0.778304351,-9.039953411
Jamaica,588450,718362,857865,905170,989790,1031596,1118931,20475,22713,24952,24284,23677,23165,23629,4.200535115,2.349957041,0.878703548,0.893797936,-1.457147209,0.921487125,-10
Japan,604803,653293,708933,718466,756792,764408,808825,1075317,1362371,1686444,2011555,2134151,2232189,2770996,4.840929057,2.630999616,2.764647551,1.803900872,4.097917919,1.560626697,-4.506904542
Jordan,313621,339026,368299,440788,602099,706832,814909,1146349,1537097,1927845,2198740,2786853,3166961,3457691,-0.275903906,6.200874365,4.245712252,8.146594741,2.314834143,2.496528695,-1.569473361
Kazakhstan,2971634,3295157,3554484,3717649,3797527,3885576,4203899,3619200,3251968,2874194,3103027,3334937,3546060,3732073,0,-8.200000001,9.800000002,9.699999999,7.3,1.2,-2.5
Kenya,250332,277647,317434,362031,442632,480647,535348,298089,618745,707852,773354,954925,1126886,1050147,4.192050972,4.406216525,0.599695391,5.90666608,8.058473603,4.967721128,-0.250155705
Kiribati,4053,4246,3991,4021,3565,4127,5103,2162,2223,2283,2487,2868,2919,3126,-0.869565217,0,6.25,4.951631626,-1.120260261,9.865174721,-0.547003796
Kuwait,81583,97009,113415,129005,177816,195034,212271,1074391,921954,1127640,1333530,1874812,2866136,3110159,0,4.858291252,4.694581871,10.60904498,-2.37026412,0.593019617,-8.855278923
Kyrgyz Republic,81583,97009,113415,129005,177816,195034,212271,1074391,921954,1127640,1333530,1874812,2866136,3110159,5.702796633,-5.42382191,5.443336633,-0.175515413,-0.471566601,3.875825448,-8.398364296
Lao PDR,522574,550022,566315,652852,726544,742841,774377,623083,518338,389824,309399,232065,204382,199011,6.704578691,7.031254328,5.798782326,7.107568369,8.526905517,7.270065843,0.50303183
Latvia,215070,228958,238641,270982,278168,369238,380010,646007,538093,430178,376725,313786,265418,239422,0,0,5.675741312,10.72036596,-4.45556726,3.885260054,-2.202985338
Lebanon,507722,531538,558891,608856,699704,757183,856814,523693,608303,692913,742243,793191,1916259,1712762,26.53316009,6.448862568,1.341871619,2.68577931,7.975135559,0.462320792,-21.39989992
Lesotho,191328,136593,120565,159071,243128,191457,202164,8240,7204,6167,6290,6414,9152,12060,6.045473329,3.290938546,3.875546814,3.466122481,5.266280653,3.127557724,-8.356395734
Liberia,516878,542295,248412,354792,219139,205741,233564,94964,208563,151868,87217,99165,112111,87947,0,0,0,5.281212453,6.09982524,-0.01856497,-2.982491276
Libya,76239,77398,80014,100248,127399,152544,185518,457075,508041,567436,625412,687192,771146,826537,0,0,3.679270408,11.87075652,5.027247672,-0.842656252,-23.92978245
Liechtenstein,3425,3018,2688,2935,3590,3536,3706,10906,13311,15483,18898,22342,23799,25877,2.252870969,5.8755504,3.220193082,4.828076777,0,0,0
